Sample,Unique_CDR3_Count
matched_SRR18720284.dedup,19196
matched_SRR18719856.dedup,15227
matched_SRR18719465.dedup,9707
matched_SRR18719603.dedup,9630
matched_SRR18719567.dedup,14621
matched_SRR18720270.dedup,12664
matched_SRR18719763.dedup,17643
matched_SRR18719470.dedup,11975
matched_SRR18720050.dedup,14628
matched_SRR18719918.dedup,12479
matched_SRR18720280.dedup,13400
matched_SRR18719522.dedup,11536
matched_SRR18720369.dedup,11645
matched_SRR18719438.dedup,11910
matched_SRR18719757.dedup,14230
matched_SRR18719661.dedup,11772
matched_SRR18719923.dedup,12738
matched_SRR18719471.dedup,10367
matched_SRR18720224.dedup,11674
matched_SRR18719895.dedup,12395
matched_SRR18719457.dedup,10852
matched_SRR18720166.dedup,9390
matched_SRR18719468.dedup,11780
matched_SRR18720041.dedup,14103
matched_SRR18719584.dedup,13247
matched_SRR18719489.dedup,10416
matched_SRR18719712.dedup,4359
matched_SRR18719483.dedup,15344
matched_SRR18720220.dedup,10862
matched_SRR18720304.dedup,17657
matched_SRR18719874.dedup,11609
matched_SRR18720384.dedup,10311
matched_SRR18719982.dedup,11875
matched_SRR18719561.dedup,10921
matched_SRR18719949.dedup,11782
matched_SRR18719533.dedup,12713
matched_SRR18719717.dedup,14102
matched_SRR18720063.dedup,11569
matched_SRR18719961.dedup,12265
matched_SRR18719675.dedup,8724
matched_SRR18719625.dedup,11802
matched_SRR18719415.dedup,12074
matched_SRR18719616.dedup,10356
matched_SRR18720197.dedup,16465
matched_SRR18719783.dedup,15548
matched_SRR18720328.dedup,10521
matched_SRR18719817.dedup,16127
matched_SRR18720340.dedup,12410
matched_SRR18719452.dedup,10978
matched_SRR18719505.dedup,11499
matched_SRR18719748.dedup,33187
matched_SRR18719948.dedup,11380
matched_SRR18720332.dedup,9981
matched_SRR18719928.dedup,9123
matched_SRR18719868.dedup,11122
matched_SRR18720289.dedup,11319
matched_SRR18719640.dedup,12819
